language,File Path,JavascriptToC.c,returncode,input,Expected,actualy
C,./Projects/HumanEvalX/142/ExecutionsExp8Run3_3\08-24-2024_22h18m38s\JavascriptToC.c,JavascriptToC.c,0,"[[-16, -9, -2, 36, 36, 26, -20, 25, -40, 20, -4, 12, -26, 35, 37]]",-14196,-14952.0
C,./Projects/HumanEvalX/142/ExecutionsExp8Run3_3\08-24-2024_22h08m04s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,0.0
C,./Projects/HumanEvalX/142/ExecutionsExp8Run3_3\08-24-2024_22h11m37s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,5.0
C,./Projects/HumanEvalX/142/ExecutionsExp8Run3_3\08-24-2024_22h11m37s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,0.0
C,./Projects/HumanEvalX/142/ExecutionsExp8Run3_3\08-24-2024_22h15m21s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,0.0
C,./Projects/HumanEvalX/142/ExecutionsExp8Run3_3\08-24-2024_22h15m21s\JavaToC.c,JavaToC.c,0,"[[1, 2, 3]]",6,4.0
C,./Projects/HumanEvalX/142/ExecutionsExp8Run3_3\08-24-2024_22h18m38s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,0.0
C,./Projects/HumanEvalX/142/ExecutionsExp8Run3_3\08-24-2024_22h22m03s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,1.0
C,./Projects/HumanEvalX/142/ExecutionsExp8Run3_3\08-24-2024_22h22m03s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,0.0
C#,./Projects/HumanEvalX/142/ExecutionsExp8Run3_3\08-24-2024_22h11m37s\C++ToC#.cs,C++ToC#.cs,0,"[[1, 2, 3]]",6,4.0
C#,./Projects/HumanEvalX/142/ExecutionsExp8Run3_3\08-24-2024_22h18m38s\C++ToC#.cs,C++ToC#.cs,0,"[[1, 2, 3]]",6,0.0
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run3_3\08-24-2024_22h11m37s\PythonToC++.c++,PythonToC++.c++,3,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run3_3\08-24-2024_22h18m38s\PythonToC++.c++,PythonToC++.c++,0,"[[1, 2, 3]]",6,0.0
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run3_3\08-24-2024_22h22m03s\PythonToC++.c++,PythonToC++.c++,0,"[[1, 2, 3]]",6,0.0
Haskell,./Projects/HumanEvalX/142/ExecutionsExp8Run3_3\08-24-2024_22h11m37s\C++ToHaskell.hs,C++ToHaskell.hs,0,"[[-1, -1, -1, -1, -1, -1, -1, -1, -1]]",-3,9.0
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run3_3\08-24-2024_22h22m03s\C++ToJavascript.js,C++ToJavascript.js,0,"[[-56, -99, 1, 0, -2]]",3030,3042.0
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run3_3\08-24-2024_22h08m04s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0.0
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run3_3\08-24-2024_22h11m37s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,30.0
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run3_3\08-24-2024_22h11m37s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0.0
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run3_3\08-24-2024_22h15m21s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0.0
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run3_3\08-24-2024_22h18m38s\JavaToJavascript.js,JavaToJavascript.js,0,"[[1, 2, 3]]",6,
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run3_3\08-24-2024_22h18m38s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0.0
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run3_3\08-24-2024_22h22m03s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0.0
Pascal,./Projects/HumanEvalX/142/ExecutionsExp8Run3_3\08-24-2024_22h22m03s\C++ToPascal.pas,C++ToPascal.pas,0,"[[-1, -1, -1, -1, -1, -1, -1, -1, -1]]",-3,9.0
