language,File Path,JavascriptToC.c,returncode,input,Expected,actualy
C,./Projects/HumanEvalX/142/ExecutionsExp7Run3\08-22-2024_11h27m42s\JavascriptToC.c,JavascriptToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/ExecutionsExp7Run3\08-22-2024_11h27m42s\PythonToC.c,PythonToC.c,0,"[[1, 4, 9]]",14,6
Java,./Projects/HumanEvalX/142/ExecutionsExp7Run3\08-22-2024_11h27m42s\PythonToJava.java,PythonToJava.java,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp7Run3\08-22-2024_11h35m50s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,30
C++,./Projects/HumanEvalX/142/ExecutionsExp7Run3\08-22-2024_11h35m50s\PythonToC++.c++,PythonToC++.c++,0,"[[1, 2, 3]]",6,0
C,./Projects/HumanEvalX/142/ExecutionsExp7Run3\08-22-2024_11h35m50s\PythonToC.c,PythonToC.c,0,"[[1, 4, 9]]",14,6
C,./Projects/HumanEvalX/142/ExecutionsExp7Run3\08-22-2024_11h43m56s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,1
C,./Projects/HumanEvalX/142/ExecutionsExp7Run3\08-22-2024_11h43m56s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,12
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp7Run3\08-22-2024_11h51m24s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,30
C,./Projects/HumanEvalX/142/ExecutionsExp7Run3\08-22-2024_11h51m24s\JavascriptToC.c,JavascriptToC.c,0,[[]],0,-1912489728
C,./Projects/HumanEvalX/142/ExecutionsExp7Run3\08-22-2024_11h51m24s\PythonToC.c,PythonToC.c,0,"[[-16, -9, -2, 36, 36, 26, -20, 25, -40, 20, -4, 12, -26, 35, 37]]",-14196,-14907
C,./Projects/HumanEvalX/142/ExecutionsExp7Run3\08-22-2024_11h58m42s\C++ToC.c,C++ToC.c,0,"[[1, 2, 3]]",6,1123222371
Haskell,./Projects/HumanEvalX/142/ExecutionsExp7Run3\08-22-2024_11h58m42s\C++ToHaskell.hs,C++ToHaskell.hs,0,"[[1, 2, 3]]",6,0
C,./Projects/HumanEvalX/142/ExecutionsExp7Run3\08-22-2024_11h58m42s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,5
C,./Projects/HumanEvalX/142/ExecutionsExp7Run3\08-22-2024_11h58m42s\PythonToC.c,PythonToC.c,0,"[[-16, -9, -2, 36, 36, 26, -20, 25, -40, 20, -4, 12, -26, 35, 37]]",-14196,-14194
