language,File Path,C++ToC#.cs,returncode,input,Expected,actualy
C#,./Projects/HumanEvalX\0\ExecutionsExp14Run1\03-29-2025_13h07m09s\C++ToC#.cs,C++ToC#.cs,0,"[[1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.05]",False,True
C#,./Projects/HumanEvalX\0\ExecutionsExp14Run1\03-29-2025_13h07m09s\JavaToC#.cs,JavaToC#.cs,0,"[[1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.05]",False,True
Pascal,./Projects/HumanEvalX\100\ExecutionsExp14Run1\03-29-2025_13h14m33s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,[4],"[4, 6, 8, 10]","[5, 7, 9, 11]"
C#,./Projects/HumanEvalX\101\ExecutionsExp14Run1\03-29-2025_13h23m11s\JavascriptToC#.cs,JavascriptToC#.cs,0,[''],[],['']
C++,./Projects/HumanEvalX\101\ExecutionsExp14Run1\03-29-2025_13h23m11s\JavaToC++.c++,JavaToC++.c++,0,"['Hi, my name is John']","['Hi', 'my', 'name', 'is', 'John']","['Hi', ''my', ''name', ''is', ''John']"
Java,./Projects/HumanEvalX\105\ExecutionsExp14Run1\03-29-2025_13h29m37s\PythonToJava.java,PythonToJava.java,0,[[]],[],"Error parsing the input: For input string: """""
Pascal,./Projects/HumanEvalX\109\ExecutionsExp14Run1\03-29-2025_13h38m12s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,"[[4, 3, 1, 2]]",False,True
C++,./Projects/HumanEvalX\113\ExecutionsExp14Run1\03-29-2025_13h45m48s\JavascriptToC++.c++,JavascriptToC++.c++,0,[['1234567']],['the number of odd elements 4n the str4ng 4 of the 4nput.'],[]
Java,./Projects/HumanEvalX\113\ExecutionsExp14Run1\03-29-2025_13h45m48s\JavascriptToJava.java,JavascriptToJava.java,0,[['1234567']],['the number of odd elements 4n the str4ng 4 of the 4nput.'],[the number of odd elements 4n the str4ng 4 of the 4nput.]
Pascal,./Projects/HumanEvalX\113\ExecutionsExp14Run1\03-29-2025_13h45m48s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,[['1234567']],['the number of odd elements 4n the str4ng 4 of the 4nput.'],the number of odd elements 6n the str6ng 6 of the 6nput.
Java,./Projects/HumanEvalX\113\ExecutionsExp14Run1\03-29-2025_13h45m48s\PythonToJava.java,PythonToJava.java,0,[['1234567']],['the number of odd elements 4n the str4ng 4 of the 4nput.'],[the number of odd elements 4n the str4ng 4 of the 4nput.]
C,./Projects/HumanEvalX\116\ExecutionsExp14Run1\03-29-2025_13h49m15s\JavascriptToC.c,JavascriptToC.c,0,"[[-2, -3, -4, -5, -6]]","[-4, -2, -6, -5, -3]","[-6, -4, -5, -3, -2]"
Pascal,./Projects/HumanEvalX\116\ExecutionsExp14Run1\03-29-2025_13h49m15s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,"[[-2, -3, -4, -5, -6]]","[-4, -2, -6, -5, -3]","[-6, -5, -4, -3, -2]"
C++,./Projects/HumanEvalX\116\ExecutionsExp14Run1\03-29-2025_13h49m15s\PythonToC++.c++,PythonToC++.c++,0,"[[-2, -3, -4, -5, -6]]","[-4, -2, -6, -5, -3]","[-6, -4, -5, -3, -2]"
Pascal,./Projects/HumanEvalX\116\ExecutionsExp14Run1\03-29-2025_13h49m15s\PythonToPascal.pas,PythonToPascal.pas,0,"[[-2, -3, -4, -5, -6]]","[-4, -2, -6, -5, -3]","[-6, -4, -5, -3, -2]"
Pascal,./Projects/HumanEvalX\118\ExecutionsExp14Run1\03-29-2025_13h53m21s\PythonToPascal.pas,PythonToPascal.pas,0,['easy'],,nan
C,./Projects/HumanEvalX\119\ExecutionsExp14Run1\03-29-2025_13h55m27s\PythonToC.c,PythonToC.c,0,"[[')', ')']]",No,Yes
Haskell,./Projects/HumanEvalX\120\ExecutionsExp14Run1\03-29-2025_13h58m32s\JavascriptToHaskell.hs,JavascriptToHaskell.hs,0,"[[-3, -4, 5], 3]","[-4, -3, 5]","[5, -3, -4]"
Pascal,./Projects/HumanEvalX\121\ExecutionsExp14Run1\03-29-2025_14h01m33s\C++ToPascal.pas,C++ToPascal.pas,0,"[[3, 3, 3, 3, 3]]",9,6
Haskell,./Projects/HumanEvalX\123\ExecutionsExp14Run1\03-29-2025_14h06m23s\PythonToHaskell.hs,PythonToHaskell.hs,0,[14],"[1, 5, 7, 11, 13, 17]","[16, 22, 34, 40, 52]"
C++,./Projects/HumanEvalX\126\ExecutionsExp14Run1\03-29-2025_14h11m40s\JavaToC++.c++,JavaToC++.c++,0,[[5]],True,False
Pascal,./Projects/HumanEvalX\127\ExecutionsExp14Run1\03-29-2025_14h14m42s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,"[[1, 2], [2, 3]]",NO,Invalid input format
C++,./Projects/HumanEvalX\127\ExecutionsExp14Run1\03-29-2025_14h14m42s\PythonToC++.c++,PythonToC++.c++,0,"[[-3, -1], [-5, 5]]",YES,NO
Haskell,./Projects/HumanEvalX\132\ExecutionsExp14Run1\03-29-2025_14h23m01s\PythonToHaskell.hs,PythonToHaskell.hs,0,['[]]]]]]][[[[[]'],False,True
C#,./Projects/HumanEvalX\133\ExecutionsExp14Run1\03-29-2025_14h25m19s\C++ToC#.cs,C++ToC#.cs,0,"[[1.0, 2, 3]]",14,113
C#,./Projects/HumanEvalX\133\ExecutionsExp14Run1\03-29-2025_14h25m19s\JavaToC#.cs,JavaToC#.cs,0,"[[1.0, 2, 3]]",14,113
Java,./Projects/HumanEvalX\134\ExecutionsExp14Run1\03-29-2025_14h27m59s\PythonToJava.java,PythonToJava.java,0,['eeeee e '],False,True
C++,./Projects/HumanEvalX\135\ExecutionsExp14Run1\03-29-2025_14h29m37s\PythonToC++.c++,PythonToC++.c++,0,"[[1, 2, 4, 3, 5]]",3,-1
C,./Projects/HumanEvalX\135\ExecutionsExp14Run1\03-29-2025_14h29m37s\PythonToC.c,PythonToC.c,0,"[[1, 2, 4, 3, 5]]",3,-1
C,./Projects/HumanEvalX\145\ExecutionsExp14Run1\03-29-2025_14h46m34s\JavaToC.c,JavaToC.c,0,"[[1, 11, -1, -11, -12]]","[-1, -11, 1, -12, 11]","[-1, -11, -12, 1, 11]"
Haskell,./Projects/HumanEvalX\145\ExecutionsExp14Run1\03-29-2025_14h46m34s\JavaToHaskell.hs,JavaToHaskell.hs,0,"[[1, 11, -1, -11, -12]]","[-1, -11, 1, -12, 11]","[-12, -11, -1, 1, 11]"
C,./Projects/HumanEvalX\145\ExecutionsExp14Run1\03-29-2025_14h46m34s\PythonToC.c,PythonToC.c,0,"[[1, 11, -1, -11, -12]]","[-1, -11, 1, -12, 11]",[]
Haskell,./Projects/HumanEvalX\147\ExecutionsExp14Run1\03-29-2025_14h53m14s\C++ToHaskell.hs,C++ToHaskell.hs,0,[5],1,0
C#,./Projects/HumanEvalX\149\ExecutionsExp14Run1\03-29-2025_14h55m26s\C++ToC#.cs,C++ToC#.cs,0,"[['AI', 'ai', 'au']]","['AI', 'ai', 'au']","['ai', 'AI', 'au']"
C++,./Projects/HumanEvalX\149\ExecutionsExp14Run1\03-29-2025_14h55m26s\JavascriptToC++.c++,JavascriptToC++.c++,0,"[['aa', 'a', 'aaa']]",['aa'],[]
Haskell,./Projects/HumanEvalX\149\ExecutionsExp14Run1\03-29-2025_14h55m26s\JavascriptToHaskell.hs,JavascriptToHaskell.hs,0,"[['aa', 'a', 'aaa']]",['aa'],[]
C,./Projects/HumanEvalX\149\ExecutionsExp14Run1\03-29-2025_14h55m26s\JavaToC.c,JavaToC.c,0,"[['d', 'dcba', 'abcd', 'a']]","['abcd', 'dcba']","['dcba', 'abcd']"
C,./Projects/HumanEvalX\149\ExecutionsExp14Run1\03-29-2025_14h55m26s\PythonToC.c,PythonToC.c,0,"[['d', 'dcba', 'abcd', 'a']]","['abcd', 'dcba']","['dcba', 'abcd']"
Haskell,./Projects/HumanEvalX\149\ExecutionsExp14Run1\03-29-2025_14h55m26s\PythonToHaskell.hs,PythonToHaskell.hs,0,"[['aa', 'a', 'aaa']]",['aa'],Invalid input format
Java,./Projects/HumanEvalX\149\ExecutionsExp14Run1\03-29-2025_14h55m26s\PythonToJava.java,PythonToJava.java,0,"[['aa', 'a', 'aaa']]",['aa'],[aa]
Pascal,./Projects/HumanEvalX\152\ExecutionsExp14Run1\03-29-2025_15h02m16s\JavaToPascal.pas,JavaToPascal.pas,0,"[[1, 2, 3, 4, 5, 1], [1, 2, 3, 4, 2, -2]]","[0, 0, 0, 0, 3, 3]",Invalid input format
Haskell,./Projects/HumanEvalX\153\ExecutionsExp14Run1\03-29-2025_15h05m22s\C++ToHaskell.hs,C++ToHaskell.hs,0,"['__HAHA', ['Tab', '123', '781345', '-_-']]",__HAHA.123,__HAHA.-_-
Haskell,./Projects/HumanEvalX\158\ExecutionsExp14Run1\03-29-2025_15h12m49s\PythonToHaskell.hs,PythonToHaskell.hs,0,"[['name', 'of', 'string']]",string,Error: Invalid input format
C#,./Projects/HumanEvalX\2\ExecutionsExp14Run1\03-29-2025_15h29m52s\JavascriptToC#.cs,JavascriptToC#.cs,0,[3.5],0.5,0
Pascal,./Projects/HumanEvalX\2\ExecutionsExp14Run1\03-29-2025_15h29m52s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,[3.5],0.5,Error: Invalid number format
C#,./Projects/HumanEvalX\2\ExecutionsExp14Run1\03-29-2025_15h29m52s\JavaToC#.cs,JavaToC#.cs,0,[3.5],0.5,0
Pascal,./Projects/HumanEvalX\2\ExecutionsExp14Run1\03-29-2025_15h29m52s\JavaToPascal.pas,JavaToPascal.pas,0,[3.5],0.5,"Error: ""3.5"" is an invalid float"
C#,./Projects/HumanEvalX\2\ExecutionsExp14Run1\03-29-2025_15h29m52s\PythonToC#.cs,PythonToC#.cs,0,[1.33],1e-06,0.030000000000000027
Pascal,./Projects/HumanEvalX\2\ExecutionsExp14Run1\03-29-2025_15h29m52s\PythonToPascal.pas,PythonToPascal.pas,0,[1.33],1e-06,0.030000000000000027
C#,./Projects/HumanEvalX\20\ExecutionsExp14Run1\03-29-2025_15h30m59s\C++ToC#.cs,C++ToC#.cs,0,"[[1.0, 2.0, 3.9, 4.0, 5.0, 2.2]]","[3.9, 4.0]","[39, 40]"
Pascal,./Projects/HumanEvalX\20\ExecutionsExp14Run1\03-29-2025_15h30m59s\C++ToPascal.pas,C++ToPascal.pas,0,"[[1.0, 2.0, 3.9, 4.0, 5.0, 2.2]]","[3.9, 4.0]","[0.0, 0.0]"
