language,File Path,JavascriptToHaskell.hs,returncode,input,Expected,actualy
Haskell,./Projects/HumanEvalX\105\ExecutionsExp23Run1\01-14-2026_13h42m05s\JavascriptToHaskell.hs,JavascriptToHaskell.hs,0,"[[2, 1, 1, 4, 5, 8, 2, 3]]","['Eight', 'Five', 'Four', 'Three', 'Two', 'Two', 'One', 'One']",[]
JavaScript,./Projects/HumanEvalX\113\ExecutionsExp23Run1\01-14-2026_14h34m36s\PythonToJavascript.js,PythonToJavascript.js,0,[['1234567']],['the number of odd elements 4n the str4ng 4 of the 4nput.'],
Pascal,./Projects/HumanEvalX\119\ExecutionsExp23Run1\01-14-2026_14h34m36s\PythonToPascal.pas,PythonToPascal.pas,0,"[['()(', ')']]",Yes,No
Python,./Projects/HumanEvalX\123\ExecutionsExp23Run1\01-14-2026_14h34m36s\JavascriptToPython.py,JavascriptToPython.py,0,[14],"[1, 5, 7, 11, 13, 17]",
Haskell,./Projects/HumanEvalX\126\ExecutionsExp23Run1\01-14-2026_14h34m36s\JavascriptToHaskell.hs,JavascriptToHaskell.hs,0,[[5]],True,
Pascal,./Projects/HumanEvalX\126\ExecutionsExp23Run1\01-14-2026_14h34m36s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,[[5]],True,False
Pascal,./Projects/HumanEvalX\130\ExecutionsExp23Run1\01-14-2026_14h34m36s\C++ToPascal.pas,C++ToPascal.pas,0,[3],"[1, 3, 2.0, 8.0]","[1, 3, 2, 0, 8, 0]"
Pascal,./Projects/HumanEvalX\130\ExecutionsExp23Run1\01-14-2026_14h34m36s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,[3],"[1, 3, 2.0, 8.0]","[1, 3, 2, 0, 8, 0]"
C#,./Projects/HumanEvalX\130\ExecutionsExp23Run1\01-14-2026_14h34m36s\PythonToC#.cs,PythonToC#.cs,0,[3],"[1, 3, 2.0, 8.0]","[1, 3, 2, 0, 8, 0]"
C,./Projects/HumanEvalX\133\ExecutionsExp23Run1\01-14-2026_14h34m36s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",14,0
C#,./Projects/HumanEvalX\133\ExecutionsExp23Run1\01-14-2026_14h34m36s\JavaToC#.cs,JavaToC#.cs,0,"[[1.0, 2, 3]]",14,113
C++,./Projects/HumanEvalX\142\ExecutionsExp23Run1\01-14-2026_14h34m36s\JavascriptToC++.c++,JavascriptToC++.c++,0,"[[1, 2, 3]]",6,0
Haskell,./Projects/HumanEvalX\145\ExecutionsExp23Run1\01-14-2026_14h34m36s\JavascriptToHaskell.hs,JavascriptToHaskell.hs,0,"[[1, 11, -1, -11, -12]]","[-1, -11, 1, -12, 11]",[]
C++,./Projects/HumanEvalX\146\ExecutionsExp23Run1\01-14-2026_14h34m36s\JavascriptToC++.c++,JavascriptToC++.c++,0,"[[15, -73, 14, -15]]",1,0
C#,./Projects/HumanEvalX\149\ExecutionsExp23Run1\01-14-2026_14h34m36s\C++ToC#.cs,C++ToC#.cs,0,"[['AI', 'ai', 'au']]","['AI', 'ai', 'au']","['ai', 'AI', 'au']"
JavaScript,./Projects/HumanEvalX\149\ExecutionsExp23Run1\01-14-2026_14h34m36s\PythonToJavascript.js,PythonToJavascript.js,0,"[['AI', 'ai', 'au']]","['AI', 'ai', 'au']","['ai', 'AI', 'au']"
