language,File Path,C++ToJava.java,returncode,input,Expected,actualy
C,./Projects/HumanEvalX/142/ExecutionsExp9Run5\08-28-2024_12h36m46s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,0
C,./Projects/HumanEvalX/142/ExecutionsExp9Run5\08-28-2024_12h55m13s\JavaToC.c,JavaToC.c,0,"[[1, 2, 3]]",6,36
C,./Projects/HumanEvalX/142/ExecutionsExp9Run5\08-28-2024_12h55m13s\PythonToC.c,PythonToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/ExecutionsExp9Run5\08-28-2024_13h34m18s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,7
C,./Projects/HumanEvalX/142/ExecutionsExp9Run5\08-28-2024_13h34m18s\PythonToC.c,PythonToC.c,1,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/ExecutionsExp9Run5\08-28-2024_13h54m30s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,0
C++,./Projects/HumanEvalX/142/ExecutionsExp9Run5\08-28-2024_12h55m13s\JavascriptToC++.c++,JavascriptToC++.c++,0,"[[1, 2, 3]]",6,0
C++,./Projects/HumanEvalX/142/ExecutionsExp9Run5\08-28-2024_13h34m18s\JavascriptToC++.c++,JavascriptToC++.c++,0,"[[1, 2, 3]]",6,0
C++,./Projects/HumanEvalX/142/ExecutionsExp9Run5\08-28-2024_13h34m18s\PythonToC++.c++,PythonToC++.c++,0,"[[1, 2, 3]]",6,0
C++,./Projects/HumanEvalX/142/ExecutionsExp9Run5\08-28-2024_13h54m30s\PythonToC++.c++,PythonToC++.c++,3,"[[1, 2, 3]]",6,
Java,./Projects/HumanEvalX/142/ExecutionsExp9Run5\08-28-2024_12h36m46s\C++ToJava.java,C++ToJava.java,0,"[[1, 2, 3]]",6,Please provide the input.
Java,./Projects/HumanEvalX/142/ExecutionsExp9Run5\08-28-2024_13h54m30s\C++ToJava.java,C++ToJava.java,0,"[[1, 2, 3]]",6,"Please provide input in the format [[1, 2, 3]] as an argument."
Java,./Projects/HumanEvalX/142/ExecutionsExp9Run5\08-28-2024_13h54m30s\PythonToJava.java,PythonToJava.java,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp9Run5\08-28-2024_13h14m44s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp9Run5\08-28-2024_13h14m44s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp9Run5\08-28-2024_13h34m18s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp9Run5\08-28-2024_13h54m30s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,0
