language,File Path,C++ToHaskell.hs,returncode,input,Expected,actualy
C,./Projects/HumanEvalX/142/ExecutionsExp8Run7\08-24-2024_23h04m26s\JavascriptToC.c,JavascriptToC.c,0,"[[-16, -9, -2, 36, 36, 26, -20, 25, -40, 20, -4, 12, -26, 35, 37]]",-14196,-14952
C,./Projects/HumanEvalX/142/ExecutionsExp8Run7\08-24-2024_23h04m26s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,0
C,./Projects/HumanEvalX/142/ExecutionsExp8Run7\08-24-2024_23h07m46s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,0
C,./Projects/HumanEvalX/142/ExecutionsExp8Run7\08-24-2024_23h10m46s\PythonToC.c,PythonToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/ExecutionsExp8Run7\08-24-2024_23h13m43s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,0
C,./Projects/HumanEvalX/142/ExecutionsExp8Run7\08-24-2024_23h13m43s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,0
C,./Projects/HumanEvalX/142/ExecutionsExp8Run7\08-24-2024_23h16m48s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,0
C#,./Projects/HumanEvalX/142/ExecutionsExp8Run7\08-24-2024_23h10m46s\C++ToC#.cs,C++ToC#.cs,0,"[[1, 2, 3]]",6,0
C#,./Projects/HumanEvalX/142/ExecutionsExp8Run7\08-24-2024_23h13m43s\C++ToC#.cs,C++ToC#.cs,0,"[[1, 2, 3]]",6,0
C#,./Projects/HumanEvalX/142/ExecutionsExp8Run7\08-24-2024_23h16m48s\C++ToC#.cs,C++ToC#.cs,0,"[[1, 2, 3]]",6,4
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run7\08-24-2024_23h16m48s\PythonToC++.c++,PythonToC++.c++,0,"[[-1, -1, -1, -1, -1, -1, -1, -1, -1]]",-3,9
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run7\08-24-2024_23h04m26s\JavaToC++.c++,JavaToC++.c++,3,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run7\08-24-2024_23h04m26s\PythonToC++.c++,PythonToC++.c++,3,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run7\08-24-2024_23h10m46s\JavascriptToC++.c++,JavascriptToC++.c++,0,"[[1, 2, 3]]",6,0
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run7\08-24-2024_23h10m46s\PythonToC++.c++,PythonToC++.c++,3,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run7\08-24-2024_23h16m48s\JavascriptToC++.c++,JavascriptToC++.c++,3,"[[1, 2, 3]]",6,
Haskell,./Projects/HumanEvalX/142/ExecutionsExp8Run7\08-24-2024_23h04m26s\C++ToHaskell.hs,C++ToHaskell.hs,0,"[[1, 2, 3]]",6,4
Java,./Projects/HumanEvalX/142/ExecutionsExp8Run7\08-24-2024_23h04m26s\JavascriptToJava.java,JavascriptToJava.java,0,"[[1, 2, 3]]",6,14
Java,./Projects/HumanEvalX/142/ExecutionsExp8Run7\08-24-2024_23h10m46s\C++ToJava.java,C++ToJava.java,0,"[[1, 2, 3]]",6,Please provide input in the form [[...]]
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run7\08-24-2024_23h04m26s\JavaToJavascript.js,JavaToJavascript.js,0,"[[1, 2, 3]]",6,
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run7\08-24-2024_23h04m26s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run7\08-24-2024_23h07m46s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run7\08-24-2024_23h10m46s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run7\08-24-2024_23h16m48s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,0
Python,./Projects/HumanEvalX/142/ExecutionsExp8Run7\08-24-2024_23h07m46s\C++ToPython.py,C++ToPython.py,0,"[[-1, -1, -1, -1, -1, -1, -1, -1, -1]]",-3,9
