language,File Path,C++ToJavascript.js,returncode,input,Expected,actualy
C,./Projects/HumanEvalX/142/ExecutionsExp9Run2\08-28-2024_07h41m49s\PythonToC.c,PythonToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/ExecutionsExp9Run2\08-28-2024_07h54m53s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,7
C,./Projects/HumanEvalX/142/ExecutionsExp9Run2\08-28-2024_07h54m53s\JavaToC.c,JavaToC.c,0,"[[1, 2, 3]]",6,0
C,./Projects/HumanEvalX/142/ExecutionsExp9Run2\08-28-2024_07h54m53s\PythonToC.c,PythonToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/ExecutionsExp9Run2\08-28-2024_08h20m28s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,0
C,./Projects/HumanEvalX/142/ExecutionsExp9Run2\08-28-2024_08h20m28s\PythonToC.c,PythonToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/ExecutionsExp9Run2\08-28-2024_08h33m15s\JavaToC.c,JavaToC.c,0,"[[1, 2, 3]]",6,0
C#,./Projects/HumanEvalX/142/ExecutionsExp9Run2\08-28-2024_08h07m53s\C++ToC#.cs,C++ToC#.cs,0,"[[1, 2, 3]]",6,Please provide the input in the correct format.
C#,./Projects/HumanEvalX/142/ExecutionsExp9Run2\08-28-2024_08h20m28s\C++ToC#.cs,C++ToC#.cs,0,"[[1, 2, 3]]",6,Please provide input in the correct format.
C++,./Projects/HumanEvalX/142/ExecutionsExp9Run2\08-28-2024_07h41m49s\PythonToC++.c++,PythonToC++.c++,3,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/ExecutionsExp9Run2\08-28-2024_07h54m53s\JavascriptToC++.c++,JavascriptToC++.c++,3,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/ExecutionsExp9Run2\08-28-2024_07h54m53s\PythonToC++.c++,PythonToC++.c++,0,"[[1, 2, 3]]",6,0
C++,./Projects/HumanEvalX/142/ExecutionsExp9Run2\08-28-2024_08h20m28s\JavascriptToC++.c++,JavascriptToC++.c++,0,"[[1, 2, 3]]",6,0
C++,./Projects/HumanEvalX/142/ExecutionsExp9Run2\08-28-2024_08h20m28s\PythonToC++.c++,PythonToC++.c++,0,"[[1, 2, 3]]",6,3
Haskell,./Projects/HumanEvalX/142/ExecutionsExp9Run2\08-28-2024_07h54m53s\C++ToHaskell.hs,C++ToHaskell.hs,0,"[[-1, -1, -1, -1, -1, -1, -1, -1, -1]]",-3,0
Haskell,./Projects/HumanEvalX/142/ExecutionsExp9Run2\08-28-2024_08h20m28s\C++ToHaskell.hs,C++ToHaskell.hs,0,"[[-1, -1, -1, -1, -1, -1, -1, -1, -1]]",-3,0
Java,./Projects/HumanEvalX/142/ExecutionsExp9Run2\08-28-2024_08h33m15s\C++ToJava.java,C++ToJava.java,0,"[[1, 2, 3]]",6,Insufficient arguments
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp9Run2\08-28-2024_07h41m49s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp9Run2\08-28-2024_08h07m53s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,0
