language,File Path,C++ToJavascript.js,returncode,input,Expected,actualy
C,./Projects/HumanEvalX/142/ExecutionsExp8Run11\08-26-2024_21h13m51s\JavascriptToC.c,JavascriptToC.c,6,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/ExecutionsExp8Run11\08-26-2024_21h13m51s\PythonToC.c,PythonToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/ExecutionsExp8Run11\08-26-2024_21h18m16s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,0
C,./Projects/HumanEvalX/142/ExecutionsExp8Run11\08-26-2024_21h18m16s\PythonToC.c,PythonToC.c,3221226356,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/ExecutionsExp8Run11\08-26-2024_21h23m17s\PythonToC.c,PythonToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/ExecutionsExp8Run11\08-26-2024_21h09m10s\PythonToC.c,PythonToC.c,0,"[[1, 4, 9]]",14,6
C,./Projects/HumanEvalX/142/ExecutionsExp8Run11\08-26-2024_21h28m31s\PythonToC.c,PythonToC.c,0,"[[1, 4, 9]]",14,6.0
C#,./Projects/HumanEvalX/142/ExecutionsExp8Run11\08-26-2024_21h18m16s\C++ToC#.cs,C++ToC#.cs,0,"[[1, 2, 3]]",6,Please provide an input array.
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run11\08-26-2024_21h13m51s\PythonToC++.c++,PythonToC++.c++,3,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run11\08-26-2024_21h23m17s\JavascriptToC++.c++,JavascriptToC++.c++,0,"[[1, 2, 3]]",6,0
Haskell,./Projects/HumanEvalX/142/ExecutionsExp8Run11\08-26-2024_21h13m51s\PythonToHaskell.hs,PythonToHaskell.hs,0,"[[1, 2, 3]]",6,Invalid input
Haskell,./Projects/HumanEvalX/142/ExecutionsExp8Run11\08-26-2024_21h18m16s\C++ToHaskell.hs,C++ToHaskell.hs,0,"[[1, 2, 3]]",6,7
Haskell,./Projects/HumanEvalX/142/ExecutionsExp8Run11\08-26-2024_21h18m16s\PythonToHaskell.hs,PythonToHaskell.hs,0,"[[1, 2, 3]]",6,Invalid input
Java,./Projects/HumanEvalX/142/ExecutionsExp8Run11\08-26-2024_21h09m10s\PythonToJava.java,PythonToJava.java,0,"[[1, 4, 9]]",14,6
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run11\08-26-2024_21h09m10s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run11\08-26-2024_21h09m10s\JavaToJavascript.js,JavaToJavascript.js,0,"[[1, 2, 3]]",6,
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run11\08-26-2024_21h18m16s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run11\08-26-2024_21h18m16s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run11\08-26-2024_21h28m31s\JavaToJavascript.js,JavaToJavascript.js,0,"[[1, 2, 3]]",6,
Pascal,./Projects/HumanEvalX/142/ExecutionsExp8Run11\08-26-2024_21h09m10s\C++ToPascal.pas,C++ToPascal.pas,0,"[[1, 2, 3]]",6,0
