language,File Path,C#ToC++.c++,returncode,input,Expected,actualy
C,./Projects/PrimeNumber/Executions4\07-31-2024_14h56m17s\C#ToC.c,C#ToC.c,0,-7.0,usage: please input a non-negative integer,composite
C,./Projects/PrimeNumber/Executions4\07-31-2024_15h05m01s\C#ToC.c,C#ToC.c,0,-7.0,usage: please input a non-negative integer,composite
C,./Projects/PrimeNumber/Executions4\07-31-2024_15h13m58s\C#ToC.c,C#ToC.c,0,-7.0,usage: please input a non-negative integer,composite
C,./Projects/PrimeNumber/Executions4\07-31-2024_14h56m17s\HaskellToC.c,HaskellToC.c,0,nan,usage: please input a non-negative integer,composite
C,./Projects/PrimeNumber/Executions4\07-31-2024_14h56m17s\JavaToC.c,JavaToC.c,0,nan,usage: please input a non-negative integer,composite
C,./Projects/PrimeNumber/Executions4\07-31-2024_15h00m32s\C#ToC.c,C#ToC.c,0,nan,usage: please input a non-negative integer,composite
C,./Projects/PrimeNumber/Executions4\07-31-2024_15h00m32s\JavaToC.c,JavaToC.c,0,nan,usage: please input a non-negative integer,composite
C,./Projects/PrimeNumber/Executions4\07-31-2024_15h00m32s\PascalToC.c,PascalToC.c,0,nan,usage: please input a non-negative integer,composite
C,./Projects/PrimeNumber/Executions4\07-31-2024_15h00m32s\PythonToC.c,PythonToC.c,0,nan,usage: please input a non-negative integer,composite
C,./Projects/PrimeNumber/Executions4\07-31-2024_15h05m01s\JavaToC.c,JavaToC.c,0,nan,usage: please input a non-negative integer,composite
C,./Projects/PrimeNumber/Executions4\07-31-2024_15h09m12s\C#ToC.c,C#ToC.c,0,nan,usage: please input a non-negative integer,composite
C,./Projects/PrimeNumber/Executions4\07-31-2024_15h09m12s\JavaToC.c,JavaToC.c,0,nan,usage: please input a non-negative integer,composite
C,./Projects/PrimeNumber/Executions4\07-31-2024_15h09m12s\PascalToC.c,PascalToC.c,0,nan,usage: please input a non-negative integer,composite
C,./Projects/PrimeNumber/Executions4\07-31-2024_15h09m12s\PythonToC.c,PythonToC.c,0,nan,usage: please input a non-negative integer,composite
