language,File Path,C++ToJavascript.js,returncode,input,Expected,actualy
JavaScript,./Projects/HumanEvalX/142/Executions\08-15-2024_12h16m01s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,
Python,./Projects/HumanEvalX/142/Executions\08-15-2024_12h16m01s\C++ToPython.py,C++ToPython.py,0,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/Executions\08-15-2024_12h16m01s\JavascriptToC.c,JavascriptToC.c,3221225477,"[[1, 2, 3]]",6,
Java,./Projects/HumanEvalX/142/Executions\08-15-2024_12h16m01s\JavascriptToJava.java,JavascriptToJava.java,0,"[[1, 4, 9]]",14,6
C++,./Projects/HumanEvalX/142/Executions\08-15-2024_12h16m01s\PythonToC++.c++,PythonToC++.c++,3,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/Executions\08-15-2024_12h16m01s\PythonToC.c,PythonToC.c,3221225477,"[[1, 2, 3]]",6,
Java,./Projects/HumanEvalX/142/Executions\08-15-2024_12h16m01s\PythonToJava.java,PythonToJava.java,0,"[[1, 2, 3]]",6,"6
14
0
9
-3
0
-126
3030
0
-14196
-1448"
JavaScript,./Projects/HumanEvalX/142/Executions\08-15-2024_12h16m01s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/Executions\08-15-2024_12h18m16s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,"6
14
0
9
-3
0
-126
3030
0
-14196
-1448"
Python,./Projects/HumanEvalX/142/Executions\08-15-2024_12h18m16s\C++ToPython.py,C++ToPython.py,0,"[[1, 4, 9]]",14,6
C,./Projects/HumanEvalX/142/Executions\08-15-2024_12h18m16s\JavascriptToC.c,JavascriptToC.c,3221225477,"[[1, 2, 3]]",6,
Java,./Projects/HumanEvalX/142/Executions\08-15-2024_12h18m16s\JavascriptToJava.java,JavascriptToJava.java,0,"[[1, 2, 3]]",6,
