language,File Path,C++ToC#.cs,returncode,input,Expected,actualy
C,./Projects/HumanEvalX/142/ExecutionsExp9Run4\08-28-2024_10h33m50s\JavaToC.c,JavaToC.c,0,"[[1, 2, 3]]",6,1165934942
C,./Projects/HumanEvalX/142/ExecutionsExp9Run4\08-28-2024_10h33m50s\PythonToC.c,PythonToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/ExecutionsExp9Run4\08-28-2024_10h46m31s\PythonToC.c,PythonToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/ExecutionsExp9Run4\08-28-2024_11h00m06s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,7
C,./Projects/HumanEvalX/142/ExecutionsExp9Run4\08-28-2024_11h12m58s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,0
C,./Projects/HumanEvalX/142/ExecutionsExp9Run4\08-28-2024_11h25m53s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,0
C,./Projects/HumanEvalX/142/ExecutionsExp9Run4\08-28-2024_11h12m58s\PythonToC.c,PythonToC.c,1,[[]],0,
C#,./Projects/HumanEvalX/142/ExecutionsExp9Run4\08-28-2024_10h33m50s\C++ToC#.cs,C++ToC#.cs,0,"[[1, 2, 3]]",6,0
C#,./Projects/HumanEvalX/142/ExecutionsExp9Run4\08-28-2024_10h46m31s\C++ToC#.cs,C++ToC#.cs,0,"[[1, 2, 3]]",6,0
C#,./Projects/HumanEvalX/142/ExecutionsExp9Run4\08-28-2024_11h25m53s\C++ToC#.cs,C++ToC#.cs,0,"[[1, 2, 3]]",6,No input provided.
C++,./Projects/HumanEvalX/142/ExecutionsExp9Run4\08-28-2024_10h33m50s\PythonToC++.c++,PythonToC++.c++,3,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/ExecutionsExp9Run4\08-28-2024_10h46m31s\JavascriptToC++.c++,JavascriptToC++.c++,0,"[[1, 2, 3]]",6,0
C++,./Projects/HumanEvalX/142/ExecutionsExp9Run4\08-28-2024_11h00m06s\PythonToC++.c++,PythonToC++.c++,3,"[[1, 2, 3]]",6,
Haskell,./Projects/HumanEvalX/142/ExecutionsExp9Run4\08-28-2024_10h33m50s\C++ToHaskell.hs,C++ToHaskell.hs,0,"[[1, 2, 3]]",6,3
Haskell,./Projects/HumanEvalX/142/ExecutionsExp9Run4\08-28-2024_11h12m58s\C++ToHaskell.hs,C++ToHaskell.hs,0,"[[1, 2, 3]]",6,0
Java,./Projects/HumanEvalX/142/ExecutionsExp9Run4\08-28-2024_10h33m50s\PythonToJava.java,PythonToJava.java,0,"[[1, 2, 3]]",6,4
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp9Run4\08-28-2024_10h33m50s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,23774
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp9Run4\08-28-2024_10h33m50s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp9Run4\08-28-2024_10h46m31s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,0
