language,File Path,C++ToHaskell.hs,returncode,input,Expected,actualy
C,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h00m05s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h00m05s\JavaToC.c,JavaToC.c,0,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h02m12s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,0
C,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h02m12s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,-126
C,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h04m20s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h04m20s\PythonToC.c,PythonToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h06m32s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,"6
14
0
9
-3
0
-126
3030
0
-14196
-1448"
C,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h06m32s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,"6
14
0
9
-3
0
-126
3030
0
-14196
-1448"
C,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h08m26s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h08m26s\JavaToC.c,JavaToC.c,0,"[[1, 2, 3]]",6,6 14 0 9 -3 0 -126 3030 0 -14196 6619252
C,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h08m26s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,"6
14
0
9
-3
0
-126
3030
0
-14196
-1448"
C,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h00m05s\PythonToC.c,PythonToC.c,0,"[[1, 4, 9]]",14,6
C,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h06m32s\JavaToC.c,JavaToC.c,0,"[[1, 4, 9]]",14,6
C#,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h00m05s\PythonToC#.cs,PythonToC#.cs,0,"[[1, 2, 3]]",6,
C#,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h02m12s\PythonToC#.cs,PythonToC#.cs,0,"[[1, 2, 3]]",6,
C#,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h04m20s\PythonToC#.cs,PythonToC#.cs,0,"[[1, 2, 3]]",6,
C#,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h06m32s\JavascriptToC#.cs,JavascriptToC#.cs,0,"[[1, 2, 3]]",6,0
C#,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h06m32s\PythonToC#.cs,PythonToC#.cs,0,"[[1, 2, 3]]",6,
C#,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h08m26s\JavascriptToC#.cs,JavascriptToC#.cs,0,"[[1, 2, 3]]",6,
C#,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h08m26s\PythonToC#.cs,PythonToC#.cs,0,"[[1, 2, 3]]",6,
C#,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h00m05s\JavascriptToC#.cs,JavascriptToC#.cs,0,"[[1, 4, 9]]",14,6
C#,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h02m12s\JavascriptToC#.cs,JavascriptToC#.cs,0,"[[1, 4, 9]]",14,6
C++,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h00m05s\JavascriptToC++.c++,JavascriptToC++.c++,0,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h00m05s\PythonToC++.c++,PythonToC++.c++,0,"[[1, 2, 3]]",6,0
C++,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h02m12s\JavascriptToC++.c++,JavascriptToC++.c++,0,"[[1, 2, 3]]",6,"Input: 1, 2, 3 | Output: 6 | Expected: 6
Input: 1, 4, 9 | Output: 14 | Expected: 14
Input:  | Output: 0 | Expected: 0
Input: 1, 1, 1, 1, 1, 1, 1, 1, 1 | Output: 9 | Expected: 9
Input: -1, -1, -1, -1, -1, -1, -1, -1, -1 | Output: -3 | Expected: -3
Input: 0 | Output: 0 | Expected: 0
Input: -1, -5, 2, -1, -5 | Output: -126 | Expected: -126
Input: -56, -99, 1, 0, -2 | Output: 3030 | Expected: 3030
Input: -1, 0, 0, 0, 0, 0, 0, 0, -1 | Output: 0 | Expected: 0
Input: -16, -9, -2, 36, 36, 26, -20, 25, -40, 20, -4, 12, -26, 35, 37 | Output: -14196 | Expected: -14196
Input: -1, -3, 17, -1, -15, 13, -1, 14, -14, -12, -5, 14, -14, 6, 13, 11, 16, 16, 4, 10 | Output: -1448 | Expected: -1448"
C++,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h02m12s\JavaToC++.c++,JavaToC++.c++,3,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h02m12s\PythonToC++.c++,PythonToC++.c++,0,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h04m20s\JavascriptToC++.c++,JavascriptToC++.c++,0,"[[1, 2, 3]]",6,"6
14
0
9
-3
0
-126
3030
0
-14196
-1448"
C++,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h08m26s\JavascriptToC++.c++,JavascriptToC++.c++,0,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h08m26s\PythonToC++.c++,PythonToC++.c++,0,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h06m32s\JavascriptToC++.c++,JavascriptToC++.c++,0,"[[1, 4, 9]]",14,6
C++,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h06m32s\PythonToC++.c++,PythonToC++.c++,0,"[[1, 4, 9]]",14,6
Haskell,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h00m05s\JavascriptToHaskell.hs,JavascriptToHaskell.hs,0,"[[1, 2, 3]]",6,
Haskell,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h02m12s\JavascriptToHaskell.hs,JavascriptToHaskell.hs,0,"[[1, 2, 3]]",6,
Haskell,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h02m12s\JavaToHaskell.hs,JavaToHaskell.hs,0,"[[1, 2, 3]]",6,"6
14
0
9
-3
0
-126
3030
0
-14196
-1448"
Haskell,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h04m20s\JavascriptToHaskell.hs,JavascriptToHaskell.hs,0,"[[1, 2, 3]]",6,"[6, 14, 0, 9, -3, 0, -126, 3030, 0, -14196, -1448]"
Haskell,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h06m32s\JavascriptToHaskell.hs,JavascriptToHaskell.hs,0,"[[1, 2, 3]]",6,"[6, 14, 0, 9, -3, 0, -126, 3030, 0, -14196, -1448]"
